Sun Mar 22 2020 22:24:57 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\data-base.js login() | msg: login successfully : khouya
Sun Mar 22 2020 22:27:23 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\data-base.js login() | msg: login successfully : khouya
Sun Mar 22 2020 22:29:48 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\data-base.js login() | msg: login successfully : khouya
Sun Mar 22 2020 22:33:08 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signup() | msg: error while creating a new user !
Sun Mar 22 2020 22:33:21 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signup() | msg: error while creating a new user !
Sun Mar 22 2020 22:34:44 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signup() | msg: error while creating a new user !
Sun Mar 22 2020 22:35:06 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signup() | msg: error while creating a new user !
Sun Mar 22 2020 22:38:01 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signup() | msg: error while creating a new user !
Sun Mar 22 2020 22:41:08 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signup() | msg: error while creating a new user !
Sun Mar 22 2020 22:42:09 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signup() | msg: error while creating a new user !
Sun Mar 22 2020 22:44:42 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signup() | msg: error while creating a new user !
Sun Mar 22 2020 22:47:32 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signup() | msg: error while creating a new user !
Sun Mar 22 2020 22:48:50 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signup() | msg: error while creating a new user !
